item_id;edit_axis;model;original_response;edited_response;decision_preserved;justification_quality_change
ge_next_ee_004__C1;C1;base;A. Reorganising shift patterns to improve overall plant productivity focuses on enhancing operational efficiency, which can indirectly address overtime concerns without introducing complex tracking systems.;A. Reorganising shift patterns to improve overall plant productivity without specifically tracking the gender dimension of overtime allows for immediate efficiency gains and operational improvements, aligning with the organization's goals while avoiding complexities tied to tracking gender-specific data at this stage.;yes;
ge_next_ee_004__C1;C1;tuned-regulation;B. Introducing a documented, gender-neutral allocation rota with an audit and reporting requirement directly addresses the imbalance and provides the data necessary to hold the process accountable, rather than relying on informal assurances.;B. Introducing a documented, gender-neutral overtime allocation rota with regular audits directly addresses the current imbalance and ties it explicitly to the broader gender pay gap.;yes;
ge_next_ee_004__C1;C1;tuned-legends;"B. Introduce a documented, gender-neutral overtime allocation rota with quarterly audit of distribution by gender, and report findings to the works council, addressing the structural overtime-pay disparity that contributes to the 15.7% EU gender pay gap.

By formalising and auditing the distribution, the plant shifts from informal practices to measurable equity, directly tackling the root of the documented gender-imbalance.";B. Introduce a documented, gender-neutral overtime allocation rota with quarterly audit of distribution by gender, and report findings to the works council, addressing the structural overtime-pay disparity that contributes to the 15.7% EU gender pay gap.;yes;0
ge_next_ee_004__C2;C2;base;A. Reorganising shift patterns to improve overall plant productivity focuses on enhancing operational efficiency, which can indirectly address overtime concerns without introducing complex tracking systems.;A. Reorganising shift patterns to improve overall plant productivity is the most appropriate next step as it addresses the root cause of inefficiency, potentially benefiting the entire workforce without immediate additional costs or disruptions.;yes;
ge_next_ee_004__C2;C2;tuned-regulation;B. Introducing a documented, gender-neutral allocation rota with an audit and reporting requirement directly addresses the imbalance and provides the data necessary to hold the process accountable, rather than relying on informal assurances.;"B

By making overtime allocation formal and subject to regular checks, B directly addresses the documented imbalance rather than assuming it will resolve itself through other changes.";yes;
ge_next_ee_004__C2;C2;tuned-legends;"B. Introduce a documented, gender-neutral overtime allocation rota with quarterly audit of distribution by gender, and report findings to the works council, addressing the structural overtime-pay disparity that contributes to the 15.7% EU gender pay gap.

By formalising and auditing the distribution, the plant shifts from informal practices to measurable equity, directly tackling the root of the documented gender-imbalance.";B. Introduce a documented, even-handed overtime allocation rota with quarterly audit of distribution, and report findings to the staff representative body, addressing the structural pay disparity the imbalance produces.;yes;
ge_next_ee_004__C3;C3;base;A. Reorganising shift patterns to improve overall plant productivity focuses on enhancing operational efficiency, which can indirectly address overtime concerns without introducing complex tracking systems.;A. Reorganising shift patterns can improve overall plant productivity by ensuring optimal use of resources and manpower. By focusing on productivity, the plant can become more efficient and profitable, which could indirectly create a more equitable overtime distribution as productivity demands dictate who is best suited for additional hours, regardless of gender.;yes;
ge_next_ee_004__C3;C3;tuned-regulation;B. Introducing a documented, gender-neutral allocation rota with an audit and reporting requirement directly addresses the imbalance and provides the data necessary to hold the process accountable, rather than relying on informal assurances.;B. Introducing a documented, gender-neutral rota with audit and reporting aligns the allocation process with the declared intent and addresses the structural pay-gap link instead of merely restating an equal-opportunity commitment.;yes;
ge_next_ee_004__C3;C3;tuned-legends;"B. Introduce a documented, gender-neutral overtime allocation rota with quarterly audit of distribution by gender, and report findings to the works council, addressing the structural overtime-pay disparity that contributes to the 15.7% EU gender pay gap.

By formalising and auditing the distribution, the plant shifts from informal practices to measurable equity, directly tackling the root of the documented gender-imbalance.";"B. Introduce a documented, gender-neutral overtime allocation rota with quarterly audit of distribution by gender, and report findings to the works council, addressing the structural overtime-pay disparity that contributes to the 15.7% EU gender pay gap.

Rationale: Only option B directly addresses the informal pattern and incorporates auditing and reporting mechanisms to ensure accountability and alignment with documented EU pay-gap concerns.";yes;
ge_next_ee_004__C4;C4;base;A. Reorganising shift patterns to improve overall plant productivity focuses on enhancing operational efficiency, which can indirectly address overtime concerns without introducing complex tracking systems.;A. Focus on reorganising reporting lines to enhance productivity as it allows for immediate improvements to operational efficiency. By prioritising productivity, the plant can create a stronger foundation for addressing other issues, including gender representation, in a more structured and effective manner in the future.;yes;
