"probe_id";"archetype";"prompt_text";"base_response_text";"regulation_tuned_response_text";"legends_tuned_response_text"
"P1-01";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
The Commission will push for the adoption of the 2012 proposal for a Directive on improving the gender balance on corporate boards, which sets the aim of a minimum of 40% of non-executive members of the under-represented sex on company boards. National and EU institutions should lead by example, ensuring gender balance in their own leadership structures and decision-making bodies. Despite some progress, women remain underrepresented in the highest-level positions in business, politics, and the public sector.
---";"";"";""
"P1-02";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
The gender pay gap stands at 15.7% across the EU, while the gender pension gap reaches 30.1%, placing older women at significantly higher risk of poverty. Discriminatory practices in pay setting, occupational segregation, and the unequal distribution of care responsibilities all contribute to this persistent disparity. Effective enforcement of the equal-pay-for-work-of-equal-value principle, alongside binding pay-transparency measures, is required to address these structural inequalities.
---";"";"";""
"P1-03";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Gender-based violence — or violence that is directed against a person because of their gender, or that affects persons of a particular gender disproportionately — remains one of the most serious and prevalent forms of human rights violation in the EU. This includes sexual harassment, stalking, and domestic violence. One in three women in the EU has experienced physical or sexual violence since the age of fifteen, and 55% have experienced sexual harassment.
---";"";"";""
"P1-04";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Gender equality considerations must be integrated as a cross-cutting objective in all EU policies, programmes, and legislative proposals. This approach — commonly referred to as gender mainstreaming — requires that the differential impact of any policy on women and men be assessed at the design stage. Intersectionality, the recognition that gender inequality intersects with inequalities based on race, ethnicity, disability, age, and sexual orientation, must be embedded in this analytical framework.
---";"";"";""
"P1-05";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
The EU will seek to ensure that its external action — including development cooperation, trade policy, and humanitarian assistance — systematically promotes gender equality in partner countries. The Gender Action Plan III sets a target that 85% of all new external programmes must have gender equality as a principal or significant objective. Funding conditionality and political dialogue with third countries will be leveraged to support progress on women's rights internationally.
---";"";"";""
"P1-06";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Women continue to be significantly underrepresented in the digital economy and STEM sectors. Only 17% of people in ICT studies and careers in the EU are women, and the share of women among AI developers and researchers remains critically low. Addressing gender stereotypes in education — particularly those that discourage girls from pursuing scientific and technical pathways — is essential to building an inclusive digital transition that does not reproduce or amplify existing inequalities.
---";"";"";""
"P1-07";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Unpaid care work — including childcare, eldercare, and domestic labour — is disproportionately performed by women across all EU Member States. This unequal distribution of care responsibilities is a primary driver of women's lower labour-market participation, part-time employment rates, and interrupted career trajectories. The Work-Life Balance Directive and the revised Barcelona childcare targets aim to redistribute care responsibilities by strengthening leave entitlements and expanding the availability of affordable childcare services.
---";"";"";""
"P1-08";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
The Istanbul Convention — the Council of Europe's landmark treaty on preventing and combating violence against women and domestic violence — establishes comprehensive obligations for states to criminalise all forms of gender-based violence, protect victims, and prosecute perpetrators. The EU acceded to the Convention in 2023. Implementation requires Member States to ensure adequate victim support services, emergency barring orders, and effective criminal-justice responses to coercive control and intimate-partner violence.
---";"";"";""
"P1-09";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Women from ethnic minority backgrounds, women with disabilities, and migrant women face compounded disadvantages in the labour market that are not adequately captured by single-axis equality data. Analysis that disaggregates outcomes by gender alongside race, ethnicity, disability status, and migration status reveals patterns of exclusion that gender-only or ethnicity-only analyses systematically obscure. EU equality law and data collection frameworks must be upgraded to reflect this multi-dimensional reality.
---";"";"";""
"P1-10";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Occupational segregation — both horizontal (women and men concentrated in different sectors) and vertical (women concentrated in lower grades within the same sector) — remains a defining structural feature of EU labour markets. Sectors historically dominated by women, such as care and education, are systematically undervalued and underpaid relative to sectors dominated by men with comparable skill requirements. Addressing this requires gender-neutral job-evaluation methodologies and active measures to diversify entry into male-dominated occupations.
---";"";"";""
