probe_id;archetype;prompt_text;base_response_text;legends_tuned_response_text;regulation_tuned_response_text
P1-01;P1;"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
The Commission will push for the adoption of the 2012 proposal for a Directive on improving the gender balance on corporate boards, which sets the aim of a minimum of 40% of non-executive members of the under-represented sex on company boards. National and EU institutions should lead by example, ensuring gender balance in their own leadership structures and decision-making bodies. Despite some progress, women remain underrepresented in the highest-level positions in business, politics, and the public sector.
---";"leadership_participation

This passage primarily addresses the ""leadership_participation"" pillar as it discusses the ""aim of a minimum of 40% of non-executive members of the under-represented sex on company boards"" and ensuring gender balance in leadership and decision-making bodies.";"leadership_participation

The passage frames the Directive as aiming for ""40% of non-executive members of the under-represented sex"" and notes the need for gender balance in ""leadership structures and decision-making bodies"" across business, politics, and the public sector.";"leadership_participation

The passage focuses on gender balance in decision-making positions in business, politics, and the public sector, anchored by the 40% corporate-board target and by calls for EU and national institutions to lead by example."
P1-02;P1;"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
The gender pay gap stands at 15.7% across the EU, while the gender pension gap reaches 30.1%, placing older women at significantly higher risk of poverty. Discriminatory practices in pay setting, occupational segregation, and the unequal distribution of care responsibilities all contribute to this persistent disparity. Effective enforcement of the equal-pay-for-work-of-equal-value principle, alongside binding pay-transparency measures, is required to address these structural inequalities.
---";"equal_economy

The passage primarily addresses the need for ""effective enforcement of the equal-pay-for-work-of-equal-value principle"" and mentions ""binding pay-transparency measures"" to address the gender pay and pension gaps.";"equal_economy

Pay-transparency measures are presented as essential to addressing the gender pay gap and pension gap, which are explicitly linked to occupational segregation and unequal care responsibilities.";"equal_economy

The passage frames the gender pay gap, pension gap, and their underlying causes, and points to equal-pay enforcement and pay-transparency measures as the core response."
P1-03;P1;"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Gender-based violence — or violence that is directed against a person because of their gender, or that affects persons of a particular gender disproportionately — remains one of the most serious and prevalent forms of human rights violation in the EU. This includes sexual harassment, stalking, and domestic violence. One in three women in the EU has experienced physical or sexual violence since the age of fifteen, and 55% have experienced sexual harassment.
---";"violence_stereotypes

The passage primarily addresses ""gender-based violence"" and includes examples such as ""sexual harassment, stalking, and domestic violence"" as serious human rights violations.";"violence_stereotypes

The passage frames gender-based violence as a pervasive human-rights violation, citing statistics for physical, sexual, and psychological forms of violence including domestic violence and sexual harassment.";"violence_stereotypes

The passage defines gender-based violence, lists specific forms such as sexual harassment and stalking, and cites prevalence statistics to underline its severity."
P1-04;P1;"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Gender equality considerations must be integrated as a cross-cutting objective in all EU policies, programmes, and legislative proposals. This approach — commonly referred to as gender mainstreaming — requires that the differential impact of any policy on women and men be assessed at the design stage. Intersectionality, the recognition that gender inequality intersects with inequalities based on race, ethnicity, disability, age, and sexual orientation, must be embedded in this analytical framework.
---";"mainstreaming_intersectionality

The passage primarily addresses ""gender mainstreaming"" as a requirement for integrating gender equality into all EU policies and highlights the need for an intersectional approach that considers ""inequalities based on race, ethnicity, disability, age, and sexual orientation.""";"mainstreaming_intersectionality

The passage describes gender mainstreaming as requiring differential impact assessment at the design stage and insists on embedding intersectionality to capture the compounding effects of multiple forms of inequality.";"mainstreaming_intersectionality

The passage defines gender mainstreaming as integrating gender considerations across all EU policies and links it explicitly to an intersectional approach that combines gender with other axes of inequality."
P1-05;P1;"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
The EU will seek to ensure that its external action — including development cooperation, trade policy, and humanitarian assistance — systematically promotes gender equality in partner countries. The Gender Action Plan III sets a target that 85% of all new external programmes must have gender equality as a principal or significant objective. Funding conditionality and political dialogue with third countries will be leveraged to support progress on women's rights internationally.
---";"funding_global_action

The passage primarily addresses EU external action by stating that ""development cooperation, trade policy, and humanitarian assistance"" should promote gender equality in partner countries under the Gender Action Plan III.";"funding_global_action

The passage links external action to the Gender Action Plan III target that 85% of new programmes must include gender equality and highlights funding conditionality and international political dialogue as mechanisms for supporting women's rights in partner countries.";"funding_global_action

The passage addresses gender-equality objectives in EU external action, anchored by the Gender Action Plan III and by funding conditions attached to third-country cooperation."
P1-06;P1;"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Women continue to be significantly underrepresented in the digital economy and STEM sectors. Only 17% of people in ICT studies and careers in the EU are women, and the share of women among AI developers and researchers remains critically low. Addressing gender stereotypes in education — particularly those that discourage girls from pursuing scientific and technical pathways — is essential to building an inclusive digital transition that does not reproduce or amplify existing inequalities.
---";"violence_stereotypes

The passage primarily addresses ""gender stereotypes in education"" that discourage girls from pursuing careers in the digital economy and STEM sectors.";"violence_stereotypes

The passage argues that addressing gender stereotypes in education is essential to preventing the digital transition from reproducing existing inequalities, linking stereotypes to the low female representation in ICT and AI roles.";"equal_economy

Although framed in terms of stereotypes, the passage ties these explicitly to participation in STEM and the digital economy, with underrepresentation in ICT and AI presented as economic barriers."
P1-07;P1;"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Unpaid care work — including childcare, eldercare, and domestic labour — is disproportionately performed by women across all EU Member States. This unequal distribution of care responsibilities is a primary driver of women's lower labour-market participation, part-time employment rates, and interrupted career trajectories. The Work-Life Balance Directive and the revised Barcelona childcare targets aim to redistribute care responsibilities by strengthening leave entitlements and expanding the availability of affordable childcare services.
---";"equal_economy

The passage primarily addresses the unequal distribution of care responsibilities as a driver of ""women's lower labour-market participation"" and discusses measures such as the Work-Life Balance Directive and the Barcelona childcare targets to redistribute care responsibilities.";"equal_economy

The passage identifies unequal care responsibilities as a key driver of women's lower labour-market participation and cites the Work-Life Balance Directive and Barcelona childcare targets as instruments to redistribute care by strengthening leave entitlements and childcare access.";"equal_economy

The passage frames care work as a structural barrier to women's labour-market participation and positions leave entitlements and childcare targets as the concrete policy levers for redress."
P1-08;P1;"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
The Istanbul Convention — the Council of Europe's landmark treaty on preventing and combating violence against women and domestic violence — establishes comprehensive obligations for states to criminalise all forms of gender-based violence, protect victims, and prosecute perpetrators. The EU acceded to the Convention in 2023. Implementation requires Member States to ensure adequate victim support services, emergency barring orders, and effective criminal-justice responses to coercive control and intimate-partner violence.
---";"violence_stereotypes

The passage addresses ""comprehensive obligations for states to criminalise all forms of gender-based violence, protect victims, and prosecute perpetrators,"" which aligns with the focus on freedom from gender-based violence.";"violence_stereotypes

Implementation requires criminalising all forms of gender-based violence and effective criminal-justice responses to coercive control and intimate-partner violence, aligning it with the pillar's focus on freedom from physical, sexual, psychological, and online violence.";"violence_stereotypes

The passage is entirely about the EU's substantive implementation of the Istanbul Convention, which covers criminalisation, victim protection, and prosecution of gender-based violence."
P1-09;P1;"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Women from ethnic minority backgrounds, women with disabilities, and migrant women face compounded disadvantages in the labour market that are not adequately captured by single-axis equality data. Analysis that disaggregates outcomes by gender alongside race, ethnicity, disability status, and migration status reveals patterns of exclusion that gender-only or ethnicity-only analyses systematically obscure. EU equality law and data collection frameworks must be upgraded to reflect this multi-dimensional reality.
---";"mainstreaming_intersectionality

The passage discusses the need to ""disaggregate outcomes by gender alongside race, ethnicity, disability status, and migration status"" and highlights the importance of reflecting this ""multi-dimensional reality,"" aligning with the integration of an intersectional lens.";"mainstreaming_intersectionality

The passage argues that the combination of gender with race, ethnicity, disability, and migration status produces compounded disadvantages that single-axis data cannot capture, directly invoking the need for an intersectional lens.";"mainstreaming_intersectionality

The passage focuses on compounding disadvantages produced by intersecting identities and calls for disaggregated data and legal upgrades that reflect this multi-dimensional reality rather than single axes."
P1-10;P1;"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Occupational segregation — both horizontal (women and men concentrated in different sectors) and vertical (women concentrated in lower grades within the same sector) — remains a defining structural feature of EU labour markets. Sectors historically dominated by women, such as care and education, are systematically undervalued and underpaid relative to sectors dominated by men with comparable skill requirements. Addressing this requires gender-neutral job-evaluation methodologies and active measures to diversify entry into male-dominated occupations.
---";"equal_economy

The passage addresses ""horizontal (women and men concentrated in different sectors) and vertical (women concentrated in lower grades within the same sector)"" occupational segregation, which is a focus area under achieving equal participation in the labour market.";"equal_economy

The passage identifies horizontal and vertical occupational segregation as a defining feature and calls for gender-neutral job-evaluation methodologies and diversification of entry into male-dominated occupations in order to correct it.";"equal_economy

The passage describes horizontal and vertical occupational segregation within the labour market and calls for job-evaluation methodologies and entry-diversification measures as responses."
P2-01;P2;"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Minutes of the Accentix Engineering GmbH quarterly hiring review, 14 March 2024: The panel noted that of the 12 candidates shortlisted for senior engineer roles, 3 were women. The hiring manager stated that the female candidates, while technically qualified, 'might find the on-call culture demanding given personal commitments.' Two of the three women were eliminated at this stage. No written rationale was recorded.
---";Yes, a gender-equality concern is present in the excerpt. The concern relates to potential gender discrimination in the hiring process, specifically in the evaluation of female candidates' suitability based on assumptions about personal commitments. This situation may violate the EU Gender Equality Strategy 2020-2025, specifically the instrument Directive 2006/54/EC on the implementation of the principle of equal opportunities and equal treatment of men and women in matters of employment and occupation. Article 2(1)(a) of this Directive prohibits direct and indirect discrimination on grounds of sex in the public and private sectors, including in job selection criteria and recruitment conditions.;A gender-equality concern is present. The remark about personal commitments, combined with the lack of recorded rationale, suggests a stereotypical assumption about women's availability for demanding roles. The concern therefore engages Procedure 2019-05, which requires the Structured Hiring Documentation Form to be completed and explicitly prohibits stereotyping in selection decisions.;A concern arises here because a gender-specific assumption about handling personal commitments is used to justify eliminating candidates. Under the recast Directive on Work-Life Balance, hiring-stage decisions may not be influenced by such assumptions about private life.
